ticket_id,source_type,store,region,dept,event_date,logged_date,category,access_level,text
T0032,crm_note,39,West,,2010-03-28,2010-03-28,loyalty_program,standard,Loyalty program enrollment at Store 39 tracking in line with regional average this period.
T0030,field_report,3,North,,2010-03-31,2010-03-31,routine_note,standard,"Standard store walkthrough at Store 3 this week - no issues flagged, operations normal."
T0046,field_report,5,North,,2010-04-16,2010-04-16,weather,standard,"Mild weather conditions at Store 5 this week, no impact on foot traffic observed."
T0043,crm_note,25,East,,2010-05-20,2010-05-20,loyalty_program,standard,Loyalty program enrollment at Store 25 tracking in line with regional average this period.
T0047,field_report,19,South,,2010-05-21,2010-05-21,weather,standard,"Mild weather conditions at Store 19 this week, no impact on foot traffic observed."
T0039,field_report,7,North,,2010-06-03,2010-06-03,maintenance,standard,"Routine facilities maintenance completed at Store 7 - HVAC servicing, no disruption to operating hours."
T0025,warehouse_ticket,41,West,,2010-06-23,2010-06-23,routine_restock,standard,Routine weekly restock completed on schedule at Store 41. No delays or shortages reported.
T0060,field_report,5,North,,2010-10-03,2010-10-03,competitor_neutral,standard,No new competitor activity observed in Store 5 trade area this period.
T0061,warehouse_ticket,21,South,,2010-10-04,2010-10-04,routine_delivery,standard,"Scheduled delivery to Store 21 received in full, no discrepancies noted against manifest."
T0067,crm_note,24,East,,2010-10-11,2010-10-11,customer_feedback_neutral,standard,"Customer satisfaction survey responses for Store 24 this week within normal range, no notable complaints."
T0034,warehouse_ticket,27,East,,2010-10-12,2010-10-12,routine_delivery,standard,"Scheduled delivery to Store 27 received in full, no discrepancies noted against manifest."
T0058,warehouse_ticket,4,North,,2010-10-21,2010-10-21,routine_restock,standard,Routine weekly restock completed on schedule at Store 4. No delays or shortages reported.
T0031,crm_note,14,South,,2010-10-25,2010-10-25,loyalty_program,standard,Loyalty program enrollment at Store 14 tracking in line with regional average this period.
T0026,field_report,18,South,,2010-11-06,2010-11-06,weather,standard,"Mild weather conditions at Store 18 this week, no impact on foot traffic observed."
T0065,field_report,35,West,,2010-11-25,2010-11-25,competitor_neutral,standard,No new competitor activity observed in Store 35 trade area this period.
T0041,warehouse_ticket,39,West,,2010-11-26,2010-11-26,routine_restock,standard,Routine weekly restock completed on schedule at Store 39. No delays or shortages reported.
T0063,crm_note,10,North,,2010-11-27,2010-11-27,customer_feedback_neutral,standard,"Customer satisfaction survey responses for Store 10 this week within normal range, no notable complaints."
T0037,crm_note,22,South,,2010-12-10,2010-12-10,customer_feedback_neutral,standard,"Customer satisfaction survey responses for Store 22 this week within normal range, no notable complaints."
T0035,warehouse_ticket,38,West,,2010-12-10,2010-12-10,routine_restock,standard,Routine weekly restock completed on schedule at Store 38. No delays or shortages reported.
T0078,field_report,8,North,,2010-12-26,2010-12-26,maintenance,standard,"Routine facilities maintenance completed at Store 8 - HVAC servicing, no disruption to operating hours."
T0012,crm_note,3,North,83,2011-01-10,2011-01-10,new_product,standard,"Department 83 newly added at Store 3 this period - initial product line launch, limited historical baseline. No prior comparable data available for trend comparison."
T0013,field_report,3,North,83,2011-01-12,2011-01-14,launch,standard,"New department launch at Store 3 saw modest opening-week turnout. Store manager notes standard ramp-up expected, no anomaly flagged internally."
T0016,crm_note,14,South,43,2011-02-14,2011-02-14,new_product,standard,"Department 43 pilot at Store 14 - single week trial run for seasonal category, no historical comparison available, treat sales as baseline-setting only."
T0040,crm_note,7,North,,2011-03-03,2011-03-03,staffing_normal,standard,"Store 7 staffing levels reported at full complement this week, no vacancies logged."
